Date(UTC),Symbol,Side,Price,Quantity,Amount,Fee,Fee Coin,Realized Profit,Quote Asset
2026-01-15 09:33:50,DASHUSDT,SELL,78.43,1.92300000,150.8208900000000000,0.07541044,USDT,0.00000000,USDT
2026-01-15 09:33:50,DASHUSDT,SELL,78.43,0.54600000,42.8227800000000000,0.02141139,USDT,0.00000000,USDT
2026-01-15 08:22:52,DASHUSDT,SELL,81.94,2.59400000,212.5523600000000000,0.10627618,USDT,-4.79890000,USDT
2026-01-15 08:05:51,DASHUSDT,BUY,83.79,2.47100000,207.0450900000000000,0.10352254,USDT,0.00000000,USDT
2026-01-15 08:05:51,DASHUSDT,BUY,83.79,0.12300000,10.3061700000000000,0.00515308,USDT,0.00000000,USDT
2026-01-15 06:09:36,DASHUSDT,SELL,80.31,2.00300000,160.8609300000000000,0.08043046,USDT,-2.60390000,USDT
2026-01-15 06:07:00,ICPUSDT,SELL,4.53,35.00000000,158.5500000000000000,0.07927500,USDT,-5.07500000,USDT
2026-01-15 05:41:19,ICPUSDT,BUY,4.675,12.00000000,56.1000000000000000,0.02805000,USDT,0.00000000,USDT
2026-01-15 05:41:19,ICPUSDT,BUY,4.675,20.00000000,93.5000000000000000,0.04675000,USDT,0.00000000,USDT
2026-01-15 05:41:19,ICPUSDT,BUY,4.675,3.00000000,14.0250000000000000,0.00701250,USDT,0.00000000,USDT
2026-01-15 05:39:28,DASHUSDT,BUY,81.61,2.00300000,163.4648300000000000,0.08173241,USDT,0.00000000,USDT
2026-01-15 05:37:07,DASHUSDT,SELL,82.09,0.00100000,0.0820900000000000,0.00004104,USDT,-0.00015725,USDT
2026-01-15 05:35:20,DASHUSDT,SELL,82.19,2.03700000,167.4210300000000000,0.08371051,USDT,-0.11662713,USDT
2026-01-15 05:35:20,DASHUSDT,SELL,82.19,1.64300000,135.0381700000000000,0.06751908,USDT,-0.09406892,USDT
2026-01-15 05:35:20,DASHUSDT,SELL,82.19,0.12200000,10.0271800000000000,0.00501359,USDT,-0.00698503,USDT
2026-01-15 05:35:20,DASHUSDT,SELL,82.2,0.12300000,10.1106000000000000,0.00505530,USDT,-0.00581228,USDT
2026-01-15 05:35:20,DASHUSDT,SELL,82.2,0.08400000,6.9048000000000000,0.00345240,USDT,-0.00396936,USDT
2026-01-15 05:35:17,DASHUSDT,BUY,82.13,0.30600000,25.1317800000000000,0.01256589,USDT,0.00000000,USDT
2026-01-15 05:35:17,DASHUSDT,BUY,82.13,0.20100000,16.5081300000000000,0.00825406,USDT,0.00000000,USDT
2026-01-15 05:35:17,DASHUSDT,BUY,82.13,0.12200000,10.0198600000000000,0.00500993,USDT,0.00000000,USDT
2026-01-15 05:35:17,DASHUSDT,BUY,82.12,0.48700000,39.9924400000000000,0.01999621,USDT,0.00000000,USDT
2026-01-15 05:35:17,DASHUSDT,BUY,82.12,0.12300000,10.1007600000000000,0.00505038,USDT,0.00000000,USDT
2026-01-15 05:35:17,DASHUSDT,BUY,82.12,0.28500000,23.4042000000000000,0.01170210,USDT,0.00000000,USDT
2026-01-15 05:35:17,DASHUSDT,BUY,82.12,0.28500000,23.4042000000000000,0.01170210,USDT,0.00000000,USDT
2026-01-15 05:35:17,DASHUSDT,BUY,82.12,0.18500000,15.1922000000000000,0.00759610,USDT,0.00000000,USDT
2026-01-15 05:34:31,DASHUSDT,BUY,82.37,1.08100000,89.0419700000000000,0.04452098,USDT,0.00000000,USDT
2026-01-15 05:34:31,DASHUSDT,BUY,82.37,0.12300000,10.1315100000000000,0.00506575,USDT,0.00000000,USDT
2026-01-15 05:34:31,DASHUSDT,BUY,82.37,0.81200000,66.8844400000000000,0.03344222,USDT,0.00000000,USDT
2026-01-15 03:27:10,GUNUSDT,BUY,0.03065,5415.00000000,165.9697500000000000,0.03319395,USDT,0.16245000,USDT
2026-01-15 02:48:39,GUNUSDT,SELL,0.03068,5078.00000000,155.7930400000000000,0.07789652,USDT,0.00000000,USDT
2026-01-15 02:48:39,GUNUSDT,SELL,0.03068,337.00000000,10.3391600000000000,0.00516958,USDT,0.00000000,USDT
2026-01-15 02:18:43,DASHUSDT,BUY,81.96,2.43100000,199.2447600000000000,0.09962238,USDT,-5.46975000,USDT
2026-01-15 02:15:57,DASHUSDT,SELL,79.71,2.43100000,193.7750100000000000,0.09688750,USDT,0.00000000,USDT
2026-01-15 01:58:02,ICPUSDT,SELL,4.658,5.00000000,23.2900000000000000,0.01164500,USDT,-0.40500000,USDT
2026-01-15 01:58:02,ICPUSDT,SELL,4.658,5.00000000,23.2900000000000000,0.01164500,USDT,-0.40500000,USDT
2026-01-15 01:58:02,ICPUSDT,SELL,4.658,5.00000000,23.2900000000000000,0.01164500,USDT,-0.40500000,USDT
